candidate_key,folds,chosen_folds,score_name,primary_col,confirm_preset,filter_preset,barrier,take_profit_mult,stop_loss_mult,max_holding_bars,avg_monthly_return_mean,avg_monthly_return_median,worst_monthly_return_min,max_drawdown_min,profit_factor_mean,positive_month_rate_mean,avg_trades_per_month_mean,robust_score_mean,constraints_ok_rate,monthly_balance_ok_rate,approved_candidate
wfo_1h_heavy|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.008794442327230673,0.009837570437769977,-0.02726150873602884,-0.0286234530408509,1.4266993797563208,0.625,8.5,-0.004416596643627594,0.5,0.75,False
wfo_1h_heavy|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.008794442327230673,0.009837570437769977,-0.02726150873602884,-0.0286234530408509,1.4266993797563208,0.625,8.5,-0.004416596643627594,0.5,0.75,False
wfo_1h_heavy|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.009966821559091843,0.009853377349992753,-0.02726150873602884,-0.02976139444455672,1.5733581070699811,0.625,8.75,-0.0004304994543690311,0.5,0.5,False
wfo_1h_heavy|sem_confirmacao|sem_filtro|tp2.0_sl1.2_96,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,sem_confirmacao,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.009966821559091843,0.009853377349992753,-0.02726150873602884,-0.02976139444455672,1.5733581070699811,0.625,8.75,-0.0004304994543690311,0.5,0.5,False
wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.0_72,4,0,wfo_no4h,pred_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.0_72,2.0,1.0,72,0.007977189497980097,0.011157999634974186,-0.015012752160285303,-0.016398768902255445,inf,0.75,5.875,0.013228634698552323,0.25,0.75,False
wfo_no4h|sem_confirmacao|sem_filtro|tp2.0_sl1.0_72,4,0,wfo_no4h,pred_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.0_sl1.0_72,2.0,1.0,72,0.007977189497980097,0.011157999634974186,-0.015012752160285303,-0.016398768902255445,inf,0.75,5.875,0.013228634698552323,0.25,0.75,False
wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.0_96,4,0,wfo_no4h,pred_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.0_96,2.0,1.0,96,0.007450789872663885,0.011157999634974186,-0.019223949162815,-0.017052442405864676,inf,0.75,5.875,0.010685864967166624,0.25,0.75,False
wfo_no4h|sem_confirmacao|sem_filtro|tp2.0_sl1.0_96,4,0,wfo_no4h,pred_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.0_sl1.0_96,2.0,1.0,96,0.007450789872663885,0.011157999634974186,-0.019223949162815,-0.017052442405864676,inf,0.75,5.875,0.010685864967166624,0.25,0.75,False
wfo_exec_heavy|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.00611601222652626,0.007589114540226871,-0.026400817633471574,-0.026279418511719665,inf,0.625,5.625,0.008196143574730976,0.25,0.75,False
wfo_exec_heavy|sem_confirmacao|sem_filtro|tp2.0_sl1.2_96,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,sem_confirmacao,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.00611601222652626,0.007589114540226871,-0.026400817633471574,-0.026279418511719665,inf,0.625,5.625,0.008196143574730976,0.25,0.75,False
rank_daytrade_1h_30m|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.007111997391487726,0.008982960270937007,-0.02726150873602884,-0.028534455409068404,2.058454254262575,0.625,6.875,0.0023560439753097413,0.25,0.75,False
rank_daytrade_1h_30m|sem_confirmacao|sem_filtro|tp2.0_sl1.2_96,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,sem_confirmacao,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.007111997391487726,0.008982960270937007,-0.02726150873602884,-0.028534455409068404,2.058454254262575,0.625,6.875,0.0023560439753097413,0.25,0.75,False
wfo_exec_heavy|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.004819595739354865,0.00563106407962824,-0.026400817633471574,-0.025367588823020926,1.4362921648527665,0.625,5.625,0.0020583305480779664,0.25,0.75,False
wfo_exec_heavy|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.004819595739354865,0.00563106407962824,-0.026400817633471574,-0.025367588823020926,1.4362921648527665,0.625,5.625,0.0020583305480779664,0.25,0.75,False
rank_wfo_no4h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.00637596995471125,0.008982960270937007,-0.021167126732045793,-0.029000205152621472,1.8835094971581228,0.625,7.75,-0.0007278842734229699,0.25,0.75,False
rank_wfo_no4h|sem_confirmacao|sem_filtro|tp2.0_sl1.2_96,4,0,rank_wfo_no4h,pred_rank_score_wfo_no4h,sem_confirmacao,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,0.00637596995471125,0.008982960270937007,-0.021167126732045793,-0.029000205152621472,1.8835094971581228,0.625,7.75,-0.0007278842734229699,0.25,0.75,False
wfo_1h_heavy|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.0_72,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.0_72,2.0,1.0,72,0.0055052124790643114,0.009326954943498972,-0.01959975906435507,-0.024394597195931178,1.3826065797364873,0.625,7.25,-0.0032202699084391273,0.25,0.75,False
wfo_1h_heavy|sem_confirmacao|sem_filtro|tp2.0_sl1.0_72,4,0,wfo_1h_heavy,pred_score_wfo_1h_heavy,sem_confirmacao,sem_filtro,tp2.0_sl1.0_72,2.0,1.0,72,0.0055052124790643114,0.009326954943498972,-0.01959975906435507,-0.024394597195931178,1.3826065797364873,0.625,7.25,-0.0032202699084391273,0.25,0.75,False
rank_daytrade_1h_30m|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,4,0,rank_daytrade_1h_30m,pred_rank_score_daytrade_1h_30m,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,0.00541224760162691,0.007502648254785471,-0.02726150873602884,-0.027128184714919623,1.3452018242228825,0.5,8.125,-0.003408974999548336,0.25,0.75,False
